protocol,run_name,model_name,feature_set,train_size,eval_size,accuracy,balanced_accuracy,macro_f1,weighted_f1,clickbait_precision,clickbait_recall,clickbait_f1,roc_auc,pr_auc
random_group_stratified_70_10_20,test,tfidf_word_logreg,text_title,2389,683,0.7657393850658858,0.7450704225352113,0.7360692480098926,0.7693671747495882,0.6099585062240664,0.6901408450704225,0.6475770925110133,0.8158525621816002,0.6599581603900042
random_group_stratified_70_10_20,test,tfidf_char_logreg,text_title,2389,683,0.7613469985358712,0.7418789331735092,0.7320040537970646,0.765371915734557,0.6024590163934426,0.6901408450704225,0.6433260393873085,0.823194486065328,0.6600044654305737
random_group_stratified_70_10_20,test,tfidf_word_char_logreg,text_title,2389,683,0.7598828696925329,0.7343971631205674,0.7276396669779023,0.7629013822870941,0.6042553191489362,0.6666666666666666,0.6339285714285714,0.824043552092698,0.6696146610762349
random_group_stratified_70_10_20,test,tfidf_word_svm,text_title,2389,683,0.7598828696925329,0.7241284586954351,0.7223907526370053,0.7607790955982427,0.6118721461187214,0.6291079812206573,0.6203703703703703,0.7998201977824393,0.6429124310080294
random_group_stratified_70_10_20,test,tfidf_char_svm,text_title,2389,683,0.7584187408491947,0.7204974528019179,0.7196453493145062,0.7588766942925178,0.6111111111111112,0.6197183098591549,0.6153846153846154,0.8131455399061033,0.6594717920686345
random_group_stratified_70_10_20,test,tfidf_word_char_svm,text_title,2389,683,0.7496339677891655,0.7051293577065229,0.7064359235380613,0.7488095776317016,0.6009615384615384,0.5868544600938967,0.5938242280285035,0.810148836280092,0.6590630559852346
random_group_stratified_70_10_20,test,tfidf_word_rf,text_title,2389,683,0.7554904831625183,0.6631755069423634,0.6761884483810984,0.736486149383539,0.6742424242424242,0.41784037558685444,0.5159420289855072,0.816531815003496,0.6568978712327129
random_group_stratified_70_10_20,test,keyword_heuristic_threshold_1.00,simple_rule,2389,683,0.7554904831625183,0.6375037458795325,0.6475301679516695,0.7209317579230667,0.75,0.323943661971831,0.4524590163934426,0.637963240435521,0.4584871356003273
random_group_stratified_70_10_20,test,tfidf_word_nb,text_title,2389,683,0.739385065885798,0.6026970332634102,0.600190739279137,0.6889573445841293,0.7611940298507462,0.23943661971830985,0.36428571428571427,0.811637199081011,0.6552452138452971
random_group_stratified_70_10_20,test,length_heuristic_threshold_73.00,simple_rule,2389,683,0.5783308931185944,0.5383028668464689,0.5338414287339325,0.588030018055535,0.3552123552123552,0.431924882629108,0.3898305084745763,0.5332134651882929,0.33282419469364427
random_group_stratified_70_10_20,test,random_stratified,simple_rule,2389,683,0.5622254758418741,0.4893766856457896,0.4893617553291242,0.5619430583205068,0.2971698113207547,0.29577464788732394,0.2964705882352941,0.5,0.3118594436310395
random_group_stratified_70_10_20,test,majority_class,simple_rule,2389,683,0.6881405563689604,0.5,0.40763226366001737,0.5610165854178862,0.0,0.0,0.0,,
random_group_stratified_70_10_20,validation,tfidf_word_logreg,text_title,2389,342,0.804093567251462,0.7734539669914495,0.7727574750830565,0.8043403081346777,0.6851851851851852,0.6915887850467289,0.6883720930232559,0.8523364485981308,0.7465407037471836
random_group_stratified_70_10_20,validation,tfidf_word_char_logreg,text_title,2389,342,0.7894736842105263,0.7602704314973155,0.7576091664369807,0.7905015718806406,0.6576576576576577,0.6822429906542056,0.6697247706422018,0.851739908530523,0.7418472455175469
random_group_stratified_70_10_20,validation,tfidf_char_logreg,text_title,2389,342,0.7777777777777778,0.7543050308212368,0.7477484472049689,0.780322636300897,0.6324786324786325,0.6915887850467289,0.6607142857142857,0.8395704911513223,0.735627965005402
random_group_stratified_70_10_20,validation,tfidf_word_svm,text_title,2389,342,0.7719298245614035,0.7245973354543647,0.7290896534914896,0.7694098144984673,0.6464646464646465,0.5981308411214953,0.6213592233009708,0.8315370849075363,0.7135215025308607
random_group_stratified_70_10_20,validation,tfidf_char_svm,text_title,2389,342,0.7631578947368421,0.7156691191091669,0.7194421657095981,0.7608911532317258,0.63,0.5887850467289719,0.6086956521739131,0.819765360906741,0.7041209294797305
random_group_stratified_70_10_20,validation,tfidf_word_char_svm,text_title,2389,342,0.7485380116959064,0.6923046331278584,0.6979170946140256,0.744199075946031,0.6105263157894737,0.5420560747663551,0.5742574257425742,0.8248956054881686,0.7039588183335479
random_group_stratified_70_10_20,validation,tfidf_word_rf,text_title,2389,342,0.7543859649122807,0.6583813879498907,0.671229114213779,0.7331132821754547,0.6825396825396826,0.40186915887850466,0.5058823529411764,0.8193477828594155,0.6891588572526726
random_group_stratified_70_10_20,validation,keyword_heuristic_threshold_1.00,simple_rule,2389,342,0.7602339181286549,0.6346390932590972,0.6429699037531191,0.7195504845697955,0.8205128205128205,0.29906542056074764,0.4383561643835616,0.634917478623981,0.4680401579073492
random_group_stratified_70_10_20,validation,tfidf_word_nb,text_title,2389,342,0.7543859649122807,0.617657586001193,0.6187290969899666,0.7038471317647519,0.8709677419354839,0.2523364485981308,0.391304347826087,0.8324915490157088,0.7187812941127424
random_group_stratified_70_10_20,validation,random_stratified,simple_rule,2389,342,0.5760233918128655,0.5158679657983695,0.5153582283553062,0.5795329467236334,0.3333333333333333,0.35514018691588783,0.3438914027149321,0.5,0.3128654970760234
random_group_stratified_70_10_20,validation,length_heuristic_threshold_73.00,simple_rule,2389,342,0.5789473684210527,0.5078146748856631,0.5078349856092101,0.5778533317624089,0.3238095238095238,0.3177570093457944,0.32075471698113206,0.4770928614038576,0.30565310844797483
random_group_stratified_70_10_20,validation,majority_class,simple_rule,2389,342,0.6871345029239766,0.5,0.4072790294627383,0.5597109469224766,0.0,0.0,0.0,,
